topic,words,answer
Lifecycle hooks,lifecycle hook hooks,'ngOnChanges' - on value of a data bound property change. 'ngOnInit' - called once on initialization of the directive/component sets and displays component input properties. 'ngDoCheck' - called during every change detection run. 'ngAfterContentInit' - called once right after ngDoCheck when ng-content pushed external content into the component's view. 'ngAfterContentChecked' - called after Angular checks the ng-content projected into the component. 'ngAfterViewInit' - called after Angular initializes the component's views and child views. 'ngAfterViewChecked' - called after Angular checks the component's views and child views. 'ngOnDestroy' - called before Angular destroys the directive/component.
constructor vs ngOnInit,constructor,'constructor' - default TS method which is normally used for the initialization purpose; mostly used only for DI setup. 'ngOnInit' - specific to Angular especially used to define Angular bindings. Even though constructor getting called first it is preferred to move all of Angular bindings to it. Important note that '@Input' values are not accessible in constructor.
Data binding,binding,Core concept that defines the communication between component and template. Data binding ways: 1. From component to template: interpolation (<p>{{name}}</p>) and property binding ([property]=”value”) 2. From template to component (event binding): <button (click)="logout()"></button> 3. Two-way binding: [(ngModel)]=”value”
Metadata. Decorators.,metadata decorator decorators,Metadata is the way to configure the expected behavior of the class. The metadata is represented by decorators: 1. Class decorators (@NgModule @Component) 2. Property decorators (@Input @Output) 3. Method decorators (@Input @HostListener) 4. Parameter decorators (@Inject)
Dependency injection,dependency injection,DI in Angular is an embedded mechanism that allows classes to asks for dependencies from external sources rather than creating them itself. '@Injectable' decorator specifies that Angular can use this class in the DI system.
Custom pipes,pipe pipes,Apart from built-in pipes you can write your own custom pipe. A pipe is a class decorated with @Pipe decorator that implements the PipeTransform interface's transform method that accepts an input value and params and returns the output value. The defined pipe name can be used within template expressions.
Pure vs impure pipes,pure impure pipe pipes,Pure pipe is only called when Angular detects a change in the value or params passed to a pipe. Pipes are pure by default. Impure pipe (controlled by pure:false) is called for every change detection cycle (very often) no matter whether value or params changes. Impure pipes might be needed when the input was changed by property (not by reference). In this case pure pipe won't detect it. Although impure pipes are being called very often so it may harm the performanse. So it's not recommended to use the for filtering operations.
trackBy,track,The main purpose of using 'ngFor' with 'trackBy' option is performance optimization. You can help Angular to track which items added or removed by providing a 'trackBy' function which takes the index and the current item as args and needs to return the unique identifier for this item.
@ViewChild,view child children,@ViewChild is a template querying mechanism that is local to the component. It is being used to inject a reference to: 1. own template HTML element: @ViewChild('title') title: ElementRef 2. component or directive: @ViewChild(ChildComponent) childComponent: ChildComponent 3. directive (maybe one of many on this element): @ViewChild('inputElement' {read: MyDirective}) myDirective: MyDirective. '@ViewChild' injected value is not immediately available at component construction time. Angular will fill in this property automatically but only after the view initialization is completed ('ngAfterViewInit'). @ViewChild's static (defaults to false) property is being used for indicating whether the reference to be instantiated before (true) or after (false) change detection. True is for creating embedded views (like charts) on the fly.
Module,module modules,@NgModule metadata is used to tell the compiler what components to be compiled for this module and how to link this module with other modules.
