topic,words,answer
Storages,storage storages local session cookie cookies,<i>LocalStorage</i> - full local persistence across multiple sessions. Works sunc. Stores data as key-value string pairs. We use expensive <i>JSON.parse()</i> to exract data from LS and cast convert to object.<br><br><i>SessionStorage</i> - available locally for the duration of the browser session: deleted when tab or window is closed but it survives page reloads. Typically used for local sensitive data.<br><br><i>Cookies</i> - data automatically sent to the server on every request to the same domain. Safe if using SSL and HttpOnly header.<br><br><i>IndexedDB</i> - store JS objects and define indexes for high-performant access. Use when state that needs to be stored is large in size.<br><br><i>Cache Storage</i> - stores requests/response pairs.
HTML5 APIs,html,audio and video API; canvas; different kinds of < input > tag; drag'n'drop; form validation; localStorage IndexedDB etc; web components; Web Sockets; Service Workers; Geolocation; Blobs
HTML5 Forms,form forms,<pre>< form action="/action_page.php"><br>  < label for="user">User:</label><br>  < input type="text" name="user" value="John"><br>  < input type="submit" value="Submit"><br>< /form><br></pre>Client-side validations: required; min; max; minlength; maxlength; type(like email); pattern.<br>Pseudo-classes <i>:valid</i> and <i>:invalid</i> allows to apply specific styles depending on validation.
HTML5 History API,history,DOM Window object provides access to the browser's session history. It has methods <i>back() forward() go(n) pushState() replaceState()</i><br><br><i>Window.location</i> - property returning <i>Location</i> object with information about the current location of the document.
Manifest,manifest money fest,<i>manifest.json</i> - defines app rules; icons; some default styling; scripts that migh take control; initial behavior; browser functionalities that can be accessd.
HTML semantic elements,semantic,<i>Semantic</i> elements clearly describes its meaning to both the browser and the developer. List of semantic elements: <i>footer; header; nav; main; section; aside; details; summary; article; time</i>.
DOM,dom dome document object don't,<i>Document Object Model</i> connects web pages to scripts by representing the in-memory structure of a document (e.g. web page). DOM represents a document with a logical tree. Each branch of the tree ends in a node and each node contains objects. DOM methods allow programmatic access to the tree. With them you can change the document's structure or style or content.<br><br>Nodes can also have event handlers attached to them. Once an event is triggered the event handlers get executed.
Canvas vs SVG,canvas svg,<i>Canvas</i> - composed of pixels; less scalable and controlled through scripts.<br><i>SVG</i> (Scalable Vector Graphics) - scalable and controlled via CSS and scripts like other HTML elements.
HTTP versions,http versions,<i>HTTP 1.1</i> - unidirectional textual protocol over TCP; 1 request on a TCP connection (has pipelining but low browser support)<br><br><i>HTTP 2</i> - bidirectional binary protocol over TCP using frames; request multiplexing; highly unreliable in poor network conditions (when packets get lost all multiplexed streams must be retransmitted)<br><br><i>HTTP 3</i> - bidirectional binary protocol over QUIC (UDP) with improved network usage and reliability. 
Sending request in browser,sending send request browser rendering render,1. Browser goes to the Domain Name System (DNS) server and finds the real IP address of the server that the website lives on.<br>2. Browser sends an HTTP request to server asking it to send a copy of the website to the client.<br>3. If the server approves the client's request the server sends the client a "200 OK" message and then starts sending the website's files to the browser as a series of small chunks called data packets.<br>4. Critical rendering path - browser assembles the small chunks into a complete web page and displays it to the user.
