topic,words,answer
CSS,css cascade style sheet shit,<i>CSS</i> - language that determines how the elements in the page are shown. <i>CSS</i> is used to develop a consistent look and feel for all the pages. It allows to separate the style from layout.
Box model,box model mother,Each HTML element is wrapped into a rectangular box. It has <i>height</i> <i>width</i> <i>padding</i> <i>border</i> and <i>margin</i>.
Include CSS in the webpage,include clothes import,1. External styles via link: <i>< link rel="stylesheet" type="text/css" href="mystyles.css" /></i><br>2. Embedded styles: <i>< style type="text/css">...</style></i><br>3. Inline styles: <i>< h2 style="color:red">Title</h2></i><br>4. Styles imported to another CSS: <i>@import "path/to/style.css";</i>
Selector types,selector selectors selective electric types,1. Universal selector: <i>* {...}</i> <br>2. Element type selector: <i>div {...}</i> <br>3. ID selector: <i>#container {...}</i> <br>4. Class selector: <i>.box {...}</i> <br>5. Descendant combinator: <i>#container .box {...}</i> <br>6. Child combinator: <i>#container> .box {...}</i> <br>7. General sibling combinator: <i>h2 ~ p {...}</i> <br>8. Adjacent sibling combinator <i>div + p {...}</i> <br>9. Attribute selector: <i>input [type=”text”] {...}</i> <br>
Preprocessors,preprocessor preprocessors pre processor processors process processes,<i>CSS Preprocessors</i> - tools used to extend the basic functionality of CSS through its own scripting language. It helps to use complex logical syntax like variables functions mixins code-nesting.<br><br><i>SASS</i> uses indentation; no brackets or semicolons.<br><i>SCSS</i> uses nested blocks.<br><i>LESS</i> is similar to <i>SCSS</i> but defines vars differently.
Length units,length unit units,<i>px</i> - pixels<br><i>em</i> - parent font size of the element (or parent in case of <i>font-size</i>)<br><i>rem</i> - font size of the root element<br><i>vw</i> - 1% of the viewport's width<br><i>vh</i> - 1% of the viewport's height
Viewport height and width (VH/VW),viewport view port viewports newport,It’s a CSS unit used to measure height and width in % with respect to the viewport. It is used mainly in responsive design techniques. The measure VH is equal to 1/100 of the height of the viewport. If the height of the browser is 1000px 1vh is equal to 10px.
Reset vs normalize CSS,reset resent resend normalize normal eyes,<i>Reset CSS</i> - aims to remove all built-in browser styling (margins paddings font-sizes of all elements are reset to be the same).<br><br><i>Normalize CSS</i> - aims to make built-in browser styling consistent across browsers. It also corrects bugs for common browser dependencies. <i>Normalize.CSS</i> has been the most popular CSS reset library for years - it saves you a lot of time matching a duplicate experience for each web browser.
Block vs inline vs inline-block,display block black inline line,<i>Block element</i> - always starts on a new line and takes space for an entire row or width (ex. <i>div</i> <i>p</i>).<br><i>Inline element</i> - appears on the same line as the content and tags beside them (ex. <i>a span img</i>).<br><i>Inline-block</i> element - similar to <i>inline</i> element except it can have <i>padding margin height</i> and <i>width</i> values.
Pseudo-elements and Pseudo-classes,pseudo suda sudo sue element elements class classes supercross superclass,<i>Pseudo-elements</i> allows us to create items that do not normally exist in the document tree (<i>::before ::after ::first-letter ::first-line ::selection</i>).<br><br><i>Pseudo-classes</i> select regular elements but under certain condition(<i>:link :visited :hover :active :focus :last-child</i>).
