topic,words,answer
JavaScript,javascript language,<i>JavaScript</i> was initially created to make web pages alive. The programs in this language are called scripts. They can be written right in HTML and run automatically as the page loads. Scripts are provided and executed as plain text. They don't need compilation to run. In case of ES6 code it should be transpiled to ES5 (by means of <i>Babel</i>) and then executed.<br><br>JS can be executed not only in the browser but also on the server or actually on any device that has a special program called the JS engine.<br><br>JS is a <i>weakly-typed</i> language because it has <i>no compilation</i> stage at which strongly-typed languages validate types.
Types,types type stripes babes,Primitive types: <i>string number boolean undefined null symbol bigint</i>.<br>Reference types: Object (incl. Array Function Date Error Map Set).<br><br><i>Primitives</i> are passed by value (value copy); <i>reference types</i> - by reference as a value.<br><br>Ways to define type:<br>1. <i>typeof</i> - not the best way since <i>typeof null</i> and <i>typeof new String('s')</i> and <i>typeof []</i> are all <i>'object'</i><br>2. <i>instanceof</i> - much better since it looks for the <i>constructor</i> property in the prototype chain; <i>[] instanceof Array</i> is <i>true</i><br>3. <i>Object.prototype.toString.call('js') // '[object String]'</i>
Object creation,create object budget creation graichen,1. Function based:  function User(name) { this.name = name; } const user = new User('John'); <br>2. Object literal: const user = { name: 'John' }; <br>3. new Object: const user = new Object(); user.name = 'John'; <br>4. Object.create: const user = Object.create(person); // person is user's prototype (user inherits properties of person)
Shallow vs Deep copy,shallow deep copy,<i>Shallow copy</i> - copy whose properties share the same references (same values that refer to the same memory addresses).<br><i>{...obj}; [...arr]; Object.create(); Object.assign(); arr.slice(); Array.from(arr)</i><br><br><i>Deep copy</i> - copy whose properties are not the same references.<br>If object is serializable (e.g. not <i>function</i> or <i>HTMLElement</i>) it can deeply copied: <i>JSON.parse(JSON.stringify(obj))</i>.<br><br>If object is not serializable (not literal):<br><pre>function deepCopy(obj) {<br>  if (!obj) return obj;<br><br>  const copyObj = {};<br>  for (const key in obj) {<br>    if (typeof obj[key] !== "object" || Array.isArray(obj[key]))<br>      copyObj[key] = obj[key];<br>    else copyObj[key] = deepCopy(obj[key]);<br>  }<br>  return copyObj;<br>}</pre>
Immutability,immutability immutable mutable freeze seal,<i>Object.freeze()</i> - fully immutable<br><i>Object.seal()</i> - can change values; cannot add or delete or redefine properties<br><i>Object.preventExtensions()</i> - can change and delete props; cannot add.
Strict mode,use strict mode streak drink mould,In ES5 a new feature called <i>Strict Mode</i> allows to write code in a strict operational environment. It's much less error-prone since all forms of errors(including silent errors) will be thrown.
Pure function,pure your poor function beautiful action beautification,1. Given the same input always returns the same output. <br>2. Produces no side-effects.
Var vs let,var let bar farm blacked elect,<i>var</i> has function scope and is initialized with <i>undefined</i> before the code is run due to <i>hoisting</i>. <br><br><i>let</i> has block scope and isn't initialized while getting <i>hoisted</i>. <i>let</i> and <i>const</i> was introduced because function scope is confusing and was one of the main sources of bugs in JS.
This,this these keyword keywords keyboard keyboards,<i>this</i> refers to the current execution context - the object on which the function was called.<br><br>Use-cases:<br>- <i>method</i> - <i>this</i> refers to object<br>- <i>regular function</i> - in <i>non-strict</i> mode refers to <i>Window/Global</i> object; in <i>strict</i> mode is <i>undefined</i><br>- <i>self-executed function</i> - <i>this</i> refers to <i>Window/Global</i> object<br>- <i>arrow function</i> - <i>this</i> refers to parent scope<br>- in <i>class</i> - refers to class object
Bind call apply,bind call apply bynes buying,They allow to redefine <i>this</i>.<br><i>call()</i> - invokes a function with a given this value and args provided one by one.<br><i>apply()</i> -  invokes a function with a given this value and args passed as an array.<br><i>bind()</i> - returns a new function that will have <i>this</i> set to the 1st arg passed to bind().
Hoisting,hoisting hosting hoist wasting dead dad zone,<i>Hoisting</i> is the default JS behavior when all the declarations (<i>var const let function class</i>) are moved to the top of their scope (global or local). At the same time <i>var</i> is initialized with <i>undefined</i>. Others (<i>let const class</i>) - not initialized. Calling them before the initialization causes <i>ReferenceError</i>.<br><br><i>Temporal Dead Zone</i> - period of time during which <i>let</i> and <i>const</i> declarations cannot be accessed.
Scope,scope school scola scopes,<i>Scope</i> determines the accessibility of vars and funcs at various parts of code. The scope is the current context of execution in which values and expressions are visible or can be referenced. If variable cannot be found in local scope JS engine tries to check for the variable in the outer scope. If no success it tries to find it in the global scope. <br><br><i>Global scope</i> - vars or funcs declared in the global namespace can be accessed from anywhere.<br><i>Module scope</i> - exported members of one file can be imported inside another.<br><i>Function/local scope</i> - can be accessed from within the function and not outside of it.<br><i>Block scope</i> relates only to let and const (var declarations don't have block scope); can be accessed only inside {} block.
Scope chaining,scope school scola scope chain chaining,JS tries to find variable in local scope and if not then it tries to find var inside upper scope etc until it is found or <i>ReferenceError</i>.
Closure,closure florida gloria,<i>Closure</i> - combination of a function with references to its surrounding state (the lexical environment). In other words <i>closure</i> gives you access to an outer function's scope from an inner function. <br><br>In JS <i>closures</i> are created every time a function is created at function creation time.
Currying,curring carrying carry,<i>Currying</i> - partial invocation of a function providing arguments in advance. It creates closure and returns new function. It's possible due to <i>scope chaining</i>.
