topic,words,answer
NodeJS and its benefits,benefit benefits node nodejs,<i>NodeJS</i> - server-side runtime environment for developing client-server applications. It has built-in <i>events</i> and <i>event listeners</i>. NodeJS also provides functionality to create custom events and event listeners.<br><br>NodeJS is well suited for applications that have a lot of concurrent connections and each request only needs very few CPU cycles because the event loop is blocked during execution of a function.<br><br>NodeJS benefits:<br><br>1. <i>Aynchronous and Event Driven</i> - All API libraries are async (non-blocking). So Node.js server never waits for a API to return data. Server moves to next API after calling it and a notification mechanism of Events of Node.js helps server to get response from the previous API call.<br><br>2. <i>Very fast</i> - Node.js is built on V8 JS engine (uses inline caching). Node.js has a wrapper over the engine which is very fast in code execution.<br><br>3. <i>Single Threaded but highly scalable</i> - Node.js uses a single threaded model with event looping. So the same program can services much larger number of requests than traditional server like Apache HTTP Server.<br><br>4. <i>Reduced development time</i> - in comparison to Java takes much less time and codelines to deliver a new endpoint.
NodeJS work,node nodejs work works event eventful even loop,NodeJS works async in single-threaded environment by using the event loop and callback functions to handle multiple requests coming in parallel.<br><br><i>Event Loop</i> is a functionality which handles and processes all your external events and just converts them to a callback function. It invokes all the event handlers at a proper time. So that the new incoming request doesn't have to wait if the processing is not complete. While processing a request NodeJS attaches a callback function to it and moves it to the back-end. When its response is ready an event is called which triggers the associated callback function to send this response.
Concurrency,concurrency tread threaded,NodeJS provides a single thread. Internally it uses multiple POSIX threads for various I/O operations such as File or DNS or Network calls etc. When Node gets I/O request it creates or uses a thread to perform that I/O operation and once the operation is done it pushes the result to the event queue. On each such event; event loop runs and checks the queue and if the execution stack is empty then it adds the queue result to execution stack.
Global dependencies installation,global dependency dependencies installation,Globally installed packages/dependencies are stored in /npm directory. Such dependencies can be used in CLI but can not be imported using <i>require()</i> in Node application directly. To install a Node project globally use <i>-g</i> flag.
Global objects,global objects console process buffer,<i>Global objects</i> - available in all modules:<br>- <i>process</i> - provides info about and control over the current NodeJS process<br>- <i>console</i> - for printing to stdout and stderr<br>- <i>buffer</i> - for handling binary data
Error-first callback,error first fist callback,Error-first callbacks are used to pass errors and data. 1st argument is always an error object. Additional arguments are used to pass data.
Post request,post request,<pre>require('request').post(<br>    'http://www.example.com/action';<br>    {form: {key: 'value'}};<br>    function(error; response; body) {<br>        if (response.statusCode == 200) console.log(body);<br>});</pre>
Control flow function,control flow function,<i>Control flow function</i> - generic piece of code which runs in between several async function calls.
Event listener,event listener listener,<i>Event listener</i> - callback associated with some event.
Child process module,child external process processes,<i>Child process module</i> allows us to run external processes (operating system functionaries or other apps). So we can use <i>child processes</i> to run system command or to read large files without blocking or decompose app into various 'nodes'.<br><br>Ways to create child process:<br>- <i>child_process.spawn</i> - launches a new process with a given command<br>- <i>child_process.exec</i> - runs a command in a shell/console and buffers the output<br>- <i>child_process.fork</i> - special case of the <i>spawn()</i> to create child processes
